Title,CVD_type,Mo_precursor,S_precursor,substrate,thickness_coverage,distance_btwn_MoS2_Raman_peaks,Mo_T,S_T,Highest_growth_T,Growth_Time,Growth_P,Class_Label_for_ML
Unveiling the Growth Mechanism of MoS2 with Chemical Vapor Deposition: From Two-Dimensional Planar Nucleation to Self-Seeding Nucleation,double vapor,MoO3 powder,S powder,SiO2/Si,multilayer,21.3,775,180,775,60,760,no
Unveiling the Growth Mechanism of MoS2 with Chemical Vapor Deposition: From Two-Dimensional Planar Nucleation to Self-Seeding Nucleation,double vapor,MoO3 powder,S powder,SiO2/Si,multilayer,21.5,800,180,800,60,760,no
Unveiling the Growth Mechanism of MoS2 with Chemical Vapor Deposition: From Two-Dimensional Planar Nucleation to Self-Seeding Nucleation,double vapor,MoO3 powder,S powder,SiO2/Si,multilayer,23.5,850,180,850,60,760,no
Epitaxial Monolayer MoS2 on Mica with Novel Photoluminescence,double vapor,MoO3 powder,S powder,mica,monolayer,none,530,100,700,20,0.225,yes
Epitaxial Monolayer MoS2 on Mica with Novel Photoluminescence,double vapor,MoO3 powder,S powder,mica,no layers,none,500,100,700,45,0.225,no
Epitaxial Monolayer MoS2 on Mica with Novel Photoluminescence,double vapor,MoO3 powder,S powder,mica,no layers,none,600,100,700,45,0.225,no
Epitaxial Monolayer MoS2 on Mica with Novel Photoluminescence,double vapor,MoO3 powder,S powder,mica,multilayer,none,530,100,700,120,0.225,no
Epitaxial Monolayer MoS2 on Mica with Novel Photoluminescence,double vapor,MoO3 powder,S powder,mica,monolayer,20,530,100,700,35,0.225,yes
Controllable Growth and Transfer of Monolayer MoS2�on Au Foils and Its Potential Application in Hydrogen Evolution Reaction,double vapor,MoO3 powder,S powder,Au foils,monolayer,19.9,530,102,530,30,0.225,yes
Controllable Growth and Transfer of Monolayer MoS2�on Au Foils and Its Potential Application in Hydrogen Evolution Reaction,double vapor,MoO3 powder,S powder,Au foils,monolayer,19.9,530,102,610,30,0.225,yes
Controllable Growth and Transfer of Monolayer MoS2�on Au Foils and Its Potential Application in Hydrogen Evolution Reaction,double vapor,MoO3 powder,S powder,Au foils,monolayer,19.9,530,102,680,30,0.225,yes
Controllable Growth and Transfer of Monolayer MoS2�on Au Foils and Its Potential Application in Hydrogen Evolution Reaction,double vapor,MoO3 powder,S powder,Au foils,monolayer,19.9,530,102,750,30,0.225,yes
"Dendritic, Transferable, Strictly Monolayer MoS2 Flakes Synthesized on SrTiO3 Single Crystals for Efficient Electrocatalytic Applications",double vapor,MoO3 powder,S powder,SrTiO3,monolayer,18.3,530,100,880,60,0.225,yes
Monolayer MoS 2 Growth on Au Foils and On-Site Domain Boundary Imaging,double vapor,MoO3 powder,S powder,Au foils,monolayer,19.9,530,102,680,60,0.124,yes
"Large-Area, Transfer-Free, Oxide-Assisted Synthesis of Hexagonal Boron Nitride Films and Their Heterostructures with MoS2 and WS2",double vapor,MoO3 powder,S powder,h-BN,multilayer,25.9,800,250,800,30,10,no
"Large-Area, Transfer-Free, Oxide-Assisted Synthesis of Hexagonal Boron Nitride Films and Their Heterostructures with MoS2 and WS2",double vapor,MoO3 powder,S powder,h-BN,multilayer,25.9,800,250,800,60,10,no
Unravelling Orientation Distribution and Merging Behavior of Monolayer MoS2 Domains on Sapphire,double vapor,MoO3 powder,S powder,sapphire,monolayer,20,530,100,850,60,0.225,yes
Unravelling Orientation Distribution and Merging Behavior of Monolayer MoS2 Domains on Sapphire,double vapor,MoO3 powder,S powder,sapphire,monolayer,20,530,100,830,60,0.225,yes
Unravelling Orientation Distribution and Merging Behavior of Monolayer MoS2 Domains on Sapphire,double vapor,MoO3 powder,S powder,sapphire,monolayer,20,530,100,850,10,0.225,yes
Unravelling Orientation Distribution and Merging Behavior of Monolayer MoS2 Domains on Sapphire,double vapor,MoO3 powder,S powder,sapphire,monolayer,20,530,100,830,10,0.225,yes
Oxygen-Assisted Chemical Vapor Deposition Growth of Large SingleCrystal and High-Quality Monolayer MoS2,double vapor,MoO3 powder,S powder,SiO2,multilayer,24.8,530,115,850,30,0.5,no
Substrate Facet Effect on the Growth of Monolayer MoS2 on Au Foils,double vapor,MoO3 powder,S powder,Au foils,monolayer,19.9,530,102,530,60,0.225,yes
Substrate Facet Effect on the Growth of Monolayer MoS2 on Au Foils,double vapor,MoO3 powder,S powder,Au foils,monolayer,19.9,530,102,610,60,0.225,yes
Substrate Facet Effect on the Growth of Monolayer MoS2 on Au Foils,double vapor,MoO3 powder,S powder,Au foils,monolayer,19.9,530,102,680,60,0.225,yes
Substrate Facet Effect on the Growth of Monolayer MoS2 on Au Foils,double vapor,MoO3 powder,S powder,Au foils,monolayer,19.9,530,102,750,60,0.225,yes
Large-Scale Synthesis of a Uniform Film of Bilayer MoS2 on Graphene for 2D Heterostructure Phototransistors,double vapor,MoO3 powder,S powder,SiO2/Si,bilayer,22.4,650,145,650,10,1,no
